timestamps,open,high,low,close,volume,amount
2015-01-05,11150.98046875,11587.2802734375,11150.98046875,11520.58984375,516300,5948080536.328125
2015-01-06,11424.919921875,11749.1396484375,11374.509765625,11667.9697265625,454300,5300758646.777344
2015-01-07,11612.73046875,11714.7802734375,11505.0302734375,11613.3603515625,329900,3831247579.9804688
2015-01-08,11624.58984375,11656.7099609375,11371.9296875,11465.1396484375,320000,3668844687.5
2015-01-09,11424.5302734375,11738.25,11313.25,11324.759765625,352800,3995375245.3125
2015-01-12,11279.73046875,11376.08984375,11116.0595703125,11285.1796875,298800,3372011690.625
2015-01-13,11250.8798828125,11418.4501953125,11244.419921875,11355.8095703125,217200,2466481838.671875
2015-01-14,11366.9501953125,11429.3095703125,11153.169921875,11237.7802734375,207200,2328468072.65625
2015-01-15,11240.83984375,11483.75,11161.51953125,11483.6796875,225100,2584976297.65625
2015-01-16,11496.759765625,11583.73046875,11436.2802734375,11532.7998046875,242900,2801317072.5585938
2015-01-19,10939.0400390625,11204.490234375,10634.6201171875,10770.9296875,363500,3915232941.40625
2015-01-20,10761.2802734375,11026.0498046875,10750.849609375,10996.48046875,312900,3440798738.671875
2015-01-21,11051.9501953125,11395.099609375,11000.740234375,11372.1796875,338100,3844933952.34375
2015-01-22,11358.4404296875,11499.4404296875,11342.080078125,11471.2099609375,257900,2958425048.9257812
2015-01-23,11507.4404296875,11554.51953125,11379.9599609375,11436.2900390625,255900,2926546620.9960938
2015-01-26,11564.2197265625,11711.8896484375,11512.009765625,11686.9697265625,364400,4258731768.359375
2015-01-27,11670.240234375,11705.91015625,11368.990234375,11551.8701171875,380100,4390865831.542969
2015-01-28,11484.990234375,11530.08984375,11309.2099609375,11354.2001953125,249600,2834008368.75
2015-01-29,11187.2998046875,11319.4697265625,11161.4296875,11249.0400390625,251300,2826883761.8164062
2015-01-30,11290.4501953125,11354.08984375,11132.7998046875,11150.6904296875,240200,2678395841.2109375
2015-02-02,10952.1396484375,11140.9697265625,10921.4404296875,10963.1396484375,230400,2525907375.0
2015-02-03,11077.48046875,11216.6796875,10993.5498046875,11209.1904296875,235800,2643127103.3203125
2015-02-04,11241.98046875,11364.3798828125,11111.5302734375,11116.5498046875,236400,2627952373.828125
2015-02-05,11367.1396484375,11386.73046875,11065.580078125,11065.580078125,295000,3264346123.046875
2015-02-06,11022.490234375,11054.9404296875,10715.4296875,10791.099609375,241300,2603892335.7421875
2015-02-09,10792.0,10975.849609375,10760.0498046875,10868.1396484375,216900,2357299489.7460938
2015-02-10,10887.6796875,11136.6201171875,10875.2900390625,11136.6201171875,204700,2279666137.9882812
2015-02-11,11174.3095703125,11318.4599609375,11167.1201171875,11265.6298828125,284900,3209577953.6132812
2015-02-12,11268.58984375,11348.3203125,11185.0,11302.73046875,274200,3099208694.53125
2015-02-13,11362.0,11564.6796875,11338.009765625,11443.0498046875,269600,3085046227.34375
2015-02-16,11474.8798828125,11606.009765625,11437.740234375,11595.25,261400,3030998350.0
2015-02-17,11658.0498046875,11772.150390625,11644.5400390625,11718.5595703125,21100,247261606.93359375
2015-02-25,11755.1796875,11755.1796875,11500.6904296875,11539.7001953125,20400,235409883.984375
2015-02-26,11526.509765625,11752.009765625,11470.4296875,11750.7802734375,239600,2815486953.515625
2015-02-27,11736.2900390625,11819.419921875,11719.66015625,11757.6796875,263700,3100500133.59375
2015-03-02,11869.9599609375,11955.8203125,11781.6103515625,11884.01953125,341600,4059581071.875
2015-03-03,11800.990234375,11800.990234375,11515.5498046875,11526.2197265625,320200,3690695556.4453125
2015-03-04,11530.9404296875,11688.2802734375,11521.7001953125,11655.080078125,293600,3421931510.9375
2015-03-05,11597.490234375,11628.150390625,11484.7998046875,11566.3896484375,262300,3033864004.7851562
2015-03-06,11600.66015625,11626.1103515625,11381.91015625,11392.400390625,227900,2596328049.0234375
2015-03-09,11280.01953125,11547.830078125,11169.0498046875,11533.23046875,252200,2908680724.21875
2015-03-10,11501.98046875,11649.25,11479.2802734375,11556.650390625,243200,2810577375.0
2015-03-11,11554.66015625,11682.5400390625,11491.6904296875,11525.08984375,216800,2498639478.125
2015-03-12,11593.6904296875,11645.5595703125,11516.25,11635.58984375,273200,3178843145.3125
2015-03-13,11680.4697265625,11751.2001953125,11654.1904296875,11713.6103515625,244500,2863977730.9570312
2015-03-16,11791.419921875,12021.8203125,11748.080078125,12017.76953125,327400,3934617744.53125
2015-03-17,12083.4404296875,12190.2802734375,12046.7998046875,12169.51953125,486500,5920471251.953125
2015-03-18,12206.7197265625,12505.33984375,12190.25,12496.240234375,626900,7833893002.9296875
2015-03-19,12549.5498046875,12552.7099609375,12337.6796875,12429.1103515625,537800,6684375547.0703125
2015-03-20,12427.41015625,12659.830078125,12387.8896484375,12544.4501953125,519800,6520605211.5234375
2015-03-23,12644.1904296875,12813.830078125,12644.1904296875,12780.3203125,481900,6158836358.59375
2015-03-24,12841.150390625,12841.4501953125,12495.919921875,12801.2001953125,599700,7676879757.128906
2015-03-25,12776.0,12841.900390625,12656.51953125,12757.099609375,484000,6174436210.9375
2015-03-26,12703.349609375,12856.2099609375,12601.75,12712.98046875,424000,5390303718.75
2015-03-27,12779.330078125,12930.240234375,12717.4296875,12874.419921875,340800,4387602309.375
2015-03-30,12917.1396484375,13242.3095703125,12894.490234375,13193.3203125,509200,6718038703.125
2015-03-31,13420.919921875,13538.2900390625,13106.9697265625,13160.66015625,579800,7630550758.59375
2015-04-01,13187.419921875,13454.8095703125,13142.400390625,13394.73046875,455800,6105318147.65625
2015-04-02,13486.900390625,13537.3798828125,13235.2802734375,13426.099609375,482600,6479435671.484375
2015-04-03,13336.8701171875,13502.4697265625,13296.9501953125,13494.6396484375,440200,5940340373.2421875
2015-04-07,13626.6201171875,13769.759765625,13625.259765625,13768.73046875,539700,7430983833.984375
2015-04-08,13814.98046875,13846.5498046875,13513.150390625,13841.7197265625,580400,8033734129.296875
2015-04-09,13898.490234375,13914.009765625,13505.849609375,13796.73046875,596800,8233888743.75
2015-04-10,13718.9296875,14034.3095703125,13650.3203125,14013.33984375,443100,6209310884.765625
2015-04-13,14100.349609375,14175.3603515625,13972.41015625,14149.509765625,539800,7637905371.484375
2015-04-14,14132.6103515625,14221.509765625,13920.0595703125,14042.4599609375,522100,7331568345.605469
2015-04-15,14023.400390625,14023.400390625,13646.6103515625,13646.6103515625,580400,7920492648.046875
2015-04-16,13549.8701171875,14024.6796875,13492.76953125,13967.7998046875,440800,6157006153.90625
2015-04-17,14120.76953125,14249.4697265625,14039.0400390625,14149.33984375,677700,9589007612.109375
2015-04-20,14132.830078125,14288.330078125,13814.9599609375,13871.599609375,778900,10804588935.742188
2015-04-21,13882.4404296875,14439.0,13882.4404296875,14439.0,691200,9980236800.0
2015-04-22,14529.240234375,14756.150390625,14510.9296875,14749.1298828125,728300,10741791293.652344
2015-04-23,14842.2099609375,14893.009765625,14647.1396484375,14743.2197265625,729200,10750755824.609375
2015-04-24,14615.5400390625,14771.2900390625,14422.5400390625,14598.7001953125,665300,9712515239.941406
2015-04-27,14749.01953125,14910.3095703125,14644.009765625,14809.419921875,625600,9264773103.125
2015-04-28,14946.9501953125,14979.8095703125,14580.419921875,14707.25,635800,9350869550.0
2015-04-29,14669.2197265625,14907.9599609375,14542.3203125,14871.9501953125,514800,7656079960.546875
2015-04-30,14909.0595703125,15009.73046875,14818.6396484375,14818.6396484375,489200,7249278516.015625
2015-05-04,14846.48046875,14958.7900390625,14714.91015625,14860.5302734375,524400,7792862075.390625
2015-05-05,14831.91015625,14831.91015625,14145.5,14233.099609375,578300,8231001504.1015625
2015-05-06,14347.5498046875,14569.650390625,14032.01953125,14136.169921875,458000,6474365824.21875
2015-05-07,14080.3603515625,14226.080078125,14027.599609375,14114.73046875,396600,5597902103.90625
2015-05-08,14271.4599609375,14481.4404296875,14165.0703125,14481.25,424900,6153083125.0
2015-05-11,14572.8203125,14946.650390625,14447.7802734375,14944.8798828125,519400,7762370611.1328125
2015-05-12,14975.23046875,15088.9599609375,14879.599609375,15066.2900390625,470800,7093209350.390625
2015-05-13,15075.01953125,15245.8095703125,14962.3798828125,15173.08984375,555900,8434720644.140625
2015-05-14,15210.75,15299.7900390625,15003.7197265625,15024.4697265625,623100,9361747086.621094
2015-05-15,14955.41015625,14955.41015625,14590.759765625,14694.9501953125,517300,7601697736.035156
2015-05-18,14612.8798828125,14759.08984375,14564.73046875,14672.6298828125,384900,5647495241.894531
2015-05-19,14723.2099609375,15173.919921875,14704.330078125,15127.3798828125,452400,6843626658.984375
2015-05-20,15206.5595703125,15618.1298828125,15206.5595703125,15337.080078125,2117400,32474733357.421875
